"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
1.0099,7,2.8109e+06,1,6552,1.225,9.2835,0.37745,0.41399,0.072162,0.082996,-1420.5,0.31703,299.38,488.79,-2.5222e+06,-2.5222e+06,0,6295,308.67,1489,2.2654,7.5185,108.59,0.15479,-0.21856,-3.4993,3.7469,1.7894e-05,0.00039688,5964.2,0,0.15479,0,-0.21856,-3.4993,1,-0.31559,0,-3.8649e-17
1.0119,7,2.8219e+06,1,6552,1.225,11.188,0.37745,0.41399,0.072162,0.082996,-1519.3,0.32306,299.97,489.75,-2.267e+06,-2.267e+06,0,6405.7,311.16,1447.3,2.2391,7.3221,104.3,0.21587,-0.22027,-3.9314,4.15,1.7894e-05,0.00037601,6105.2,0,0.21587,0,-0.22027,-3.9314,1,-0.31554,0,-0.0055078
1.0122,7,2.8209e+06,1,6552,1.225,11.28,0.37745,0.41399,0.072162,0.082996,-1351.7,0.23032,300.06,489.89,-1.4456e+06,-1.4456e+06,0,5309.5,311.34,1100.8,2.0782,6.3779,109.1,0.32954,-0.22993,-3.9136,4.1422,1.7894e-05,0.00040553,5095.6,0,0.32954,0,-0.22993,-3.9136,1,-0.3154,0,-0.011014
1.0126,7,2.8223e+06,1,6552,1.225,13.752,0.37745,0.41399,0.072162,0.082996,-1536.6,0.25352,300.17,490.08,-1.4001e+06,-1.4001e+06,0,5636.1,313.93,1122.3,2.0757,6.3309,103.47,0.41049,-0.23379,-4.4107,4.6138,1.7894e-05,0.00037666,5431,0,0.41049,0,-0.23379,-4.4107,1,-0.31516,0,-0.016517
1.0126,7,2.8251e+06,1,6552,1.225,18,0.37745,0.41399,0.072162,0.082996,-1956.1,0.33349,300.18,490.1,-1.6836e+06,-1.6836e+06,0,6761,318.18,1310,2.1588,6.7314,92.347,0.50223,-0.23378,-5.1858,5.3554,1.7894e-05,0.00031617,6530.5,0,0.50223,0,-0.23378,-5.1858,1,-0.31482,0,-0.022014
1.0098,7,2.8222e+06,1,6552,1.225,16.792,0.37745,0.41399,0.072162,0.082996,-1377.6,0.20373,299.34,488.72,-1.5755e+06,-1.5755e+06,0,5135.8,316.13,898.87,1.9467,5.5901,101.83,0.63345,-0.2424,-4.9137,5.1239,1.7894e-05,0.0003719,4889.6,0,0.63345,0,-0.2424,-4.9137,1,-0.31439,0,-0.027505
1.007,7,2.8217e+06,1,6552,1.225,18.35,0.37745,0.41399,0.072162,0.082996,-1223.5,0.17889,298.52,487.38,-1.885e+06,-1.885e+06,0,4879.4,316.87,800.42,1.8845,5.2529,101.36,0.7614,-0.24497,-5.1412,5.3674,1.7894e-05,0.0003717,4579.5,0,0.7614,0,-0.24497,-5.1412,1,-0.31386,0,-0.032988
1.0043,7,2.8237e+06,1,6552,1.225,23.037,0.37745,0.41399,0.072162,0.082996,-1415.5,0.24597,297.72,486.07,-3.4302e+06,-3.4302e+06,0,6090.1,320.76,968.43,1.9686,5.661,91.741,0.89074,-0.24305,-5.841,6.0598,1.7894e-05,0.00031459,5605.3,0,0.89074,0,-0.24305,-5.841,1,-0.31324,0,-0.038461
0.99907,7,2.8204e+06,1,6552,1.225,23.512,0.37745,0.41399,0.072162,0.082996,-1133.7,0.17789,296.17,483.55,-3.2864e+06,-3.2864e+06,0,5126.8,319.69,751.88,1.8414,5.0081,96.565,1.0409,-0.23156,-5.8475,6.1043,1.7894e-05,0.00034603,4634.8,0,1.0409,0,-0.23156,-5.8475,1,-0.31252,0,-0.043922
0.99291,7,2.8164e+06,1,6552,1.225,24.05,0.37745,0.41399,0.072162,0.082996,-862.13,0.11465,294.35,480.57,-2.6049e+06,-2.6049e+06,0,4098.9,318.4,556.53,1.7198,4.3997,101.27,1.203,-0.21337,-5.8739,6.1737,1.7894e-05,0.0003797,3654.2,0,1.203,0,-0.21337,-5.8739,1,-0.3117,0,-0.049369
0.98682,7,2.8149e+06,1,6552,1.225,27.989,0.37745,0.41399,0.072162,0.082996,-937.71,0.13843,292.54,477.62,-4.0269e+06,-4.0269e+06,0,4672.2,320.53,606.9,1.7441,4.5151,97.272,1.3638,-0.19125,-6.3604,6.6787,1.7894e-05,0.00035403,4052.2,0,1.3638,0,-0.19125,-6.3604,1,-0.3108,0,-0.054802
0.98016,7,2.8154e+06,1,6552,1.225,33.05,0.37745,0.41399,0.072162,0.082996,-1127.7,0.18146,290.57,474.4,-6.3503e+06,-6.3503e+06,0,5699.9,323.62,704.53,1.8013,4.7849,91.301,1.5301,-0.17283,-6.9529,7.2812,1.7894e-05,0.00031212,4812.6,0,1.5301,0,-0.17283,-6.9529,1,-0.30979,0,-0.060217
0.97169,7,2.8157e+06,1,6552,1.225,33.384,0.37745,0.41399,0.072162,0.082996,-851.31,0.11285,288.06,470.3,-3.8303e+06,-3.8303e+06,0,4234.5,321.44,495.92,1.656,4.0805,96.261,1.7325,-0.17343,-6.9408,7.3109,1.7894e-05,0.00035562,3587.8,0,1.7325,0,-0.17343,-6.9408,1,-0.30869,0,-0.065615
0.96325,7,2.8188e+06,1,6552,1.225,37.505,0.37745,0.41399,0.072162,0.082996,-955.74,0.12655,285.56,466.22,-4.5035e+06,-4.5035e+06,0,4550.7,323.06,506.55,1.6546,4.0659,93.002,1.9283,-0.17031,-7.3735,7.7591,1.7894e-05,0.00033606,3813.9,0,1.9283,0,-0.17031,-7.3735,1,-0.3075,0,-0.070992
0.95477,7,2.8248e+06,1,6552,1.225,45.783,0.37745,0.41399,0.072162,0.082996,-1473.9,0.21757,283.04,462.11,-8.3187e+06,-8.3187e+06,0,6662,328.82,696.87,1.7871,4.6553,81.842,2.1205,-0.1627,-8.2302,8.607,1.7894e-05,0.00025222,5529.1,0,2.1205,0,-0.1627,-8.2302,1,-0.30622,0,-0.076348
0.94435,7,2.8302e+06,1,6552,1.225,46.355,0.37745,0.41399,0.072162,0.082996,-1014.2,0.15691,279.95,457.07,-5.9226e+06,-5.9226e+06,0,5318.2,326.31,525.82,1.6507,4.0214,85.178,2.3548,-0.16974,-8.2067,8.6484,1.7894e-05,0.00028783,4406.3,0,2.3548,0,-0.16974,-8.2067,1,-0.30484,0,-0.081681
0.93375,7,2.8383e+06,1,6552,1.225,50.114,0.37745,0.41399,0.072162,0.082996,-841.02,0.15579,276.81,451.94,-5.9238e+06,-5.9238e+06,0,5354.5,326.93,495.38,1.6177,3.8555,82.349,2.5896,-0.17396,-8.5064,8.9964,1.7894e-05,0.00027382,4428.7,0,2.5896,0,-0.17396,-8.5064,1,-0.30336,0,-0.086988
0.92307,7,2.8488e+06,1,6552,1.225,58.141,0.37745,0.41399,0.072162,0.082996,-791.9,0.22102,273.64,446.76,-8.636e+06,-8.636e+06,0,7110.5,331.78,605.41,1.7083,4.2047,72.184,2.8403,-0.17504,-9.199,9.7165,1.7894e-05,0.0001987,5908.4,0,2.8403,0,-0.17504,-9.199,1,-0.3018,0,-0.09227
0.90963,7,2.8642e+06,1,6552,1.225,60.076,0.37745,0.41399,0.072162,0.082996,-883.6,0.17921,269.66,440.26,-7.6643e+06,-7.6643e+06,0,6196.9,329.74,495.29,1.6105,3.7787,75.178,3.109,-0.20122,-9.2524,9.8629,1.7894e-05,0.00022551,5074.8,0,3.109,0,-0.20122,-9.2524,1,-0.30014,0,-0.097523
0.89576,7,2.8812e+06,1,6552,1.225,64.812,0.37745,0.41399,0.072162,0.082996,-1093.5,0.17989,265.55,433.55,-8.4989e+06,-8.4989e+06,0,6382.5,330.36,476.65,1.5928,3.6903,73.734,3.3923,-0.22149,-9.5542,10.249,1.7894e-05,0.00021437,5165.7,0,3.3923,0,-0.22149,-9.5542,1,-0.2984,0,-0.10275
0.88208,7,2.8925e+06,1,6552,1.225,68.46,0.37745,0.41399,0.072162,0.082996,-1161.5,0.16759,261.49,426.93,-8.2423e+06,-8.2423e+06,0,6118.1,329.95,431.81,1.547,3.491,73.411,3.6703,-0.22742,-9.7579,10.535,1.7894e-05,0.00021498,4910.8,0,3.6703,0,-0.22742,-9.7579,1,-0.29656,0,-0.10794
0.86853,7,2.8993e+06,1,6552,1.225,71.887,0.37745,0.41399,0.072162,0.082996,-1146.2,0.15481,257.48,420.37,-7.603e+06,-7.603e+06,0,5765.4,329.36,386.96,1.4975,3.2813,72.914,3.9472,-0.22078,-9.9414,10.796,1.7894e-05,0.00021589,4602.9,0,3.9472,0,-0.22078,-9.9414,1,-0.29463,0,-0.1131
0.85482,7,2.907e+06,1,6552,1.225,79.924,0.37745,0.41399,0.072162,0.082996,-1460.3,0.20226,253.41,413.73,-1.0187e+07,-1.0187e+07,0,7214.2,333.34,450.83,1.5645,3.5196,65.776,4.2513,-0.20964,-10.493,11.402,1.7894e-05,0.00016119,5810.3,0,4.2513,0,-0.20964,-10.493,1,-0.29261,0,-0.11822
0.8399,7,2.904e+06,1,6552,1.225,82.03,0.37745,0.41399,0.072162,0.082996,-1352.5,0.16795,248.99,406.51,-8.1837e+06,-8.1837e+06,0,6222.8,331.02,368.87,1.4701,3.1401,67.026,4.5445,-0.21112,-10.522,11.546,1.7894e-05,0.00017967,4990.4,0,4.5445,0,-0.21112,-10.522,1,-0.2905,0,-0.12331
0.82424,7,2.8947e+06,1,6552,1.225,82.531,0.37745,0.41399,0.072162,0.082996,-1085.1,0.11455,244.35,398.93,-5.2028e+06,-5.2028e+06,0,4600.3,326.88,260.74,1.3344,2.6247,70.29,4.8358,-0.21859,-10.41,11.574,1.7894e-05,0.00021573,3620.7,0,4.8358,0,-0.21859,-10.41,1,-0.28831,0,-0.12836
0.80839,7,2.8865e+06,1,6552,1.225,87.626,0.37745,0.41399,0.072162,0.082996,-1185,0.11741,239.65,391.26,-5.1167e+06,-5.1167e+06,0,4715.3,327.27,247.22,1.3094,2.5163,67.136,5.1588,-0.22118,-10.65,11.931,1.7894e-05,0.00019893,3740.9,0,5.1588,0,-0.22118,-10.65,1,-0.28602,0,-0.13337
0.7924,7,2.88e+06,1,6552,1.225,95.791,0.37745,0.41399,0.072162,0.082996,-1598.4,0.15236,234.91,383.52,-6.5147e+06,-6.5147e+06,0,5927.3,330.7,280.04,1.3524,2.6328,59.999,5.513,-0.21848,-11.101,12.488,1.7894e-05,0.00015009,4839.3,0,5.513,0,-0.21848,-11.101,1,-0.28365,0,-0.13835
0.77735,7,2.8715e+06,1,6552,1.225,94.835,0.37745,0.41399,0.072162,0.082996,-1148.8,0.09111,230.44,376.24,-4.2193e+06,-4.2193e+06,0,4041,325.28,182.75,1.2048,2.1361,65.606,5.7827,-0.21101,-10.873,12.416,1.7894e-05,0.00019842,3120.9,0,5.7827,0,-0.21101,-10.873,1,-0.28119,0,-0.14327
0.76205,7,2.8649e+06,1,6552,1.225,98.361,0.37745,0.41399,0.072162,0.082996,-1116.1,0.078841,225.91,368.83,-4.0043e+06,-4.0043e+06,0,3740.2,324.27,157.45,1.1571,1.9758,65.116,6.0936,-0.19842,-10.968,12.645,1.7894e-05,0.00019829,2824.5,0,6.0936,0,-0.19842,-10.968,1,-0.27865,0,-0.14816
0.74652,7,2.8609e+06,1,6552,1.225,106.52,0.37745,0.41399,0.072162,0.082996,-1669,0.11003,221.31,361.32,-6.5833e+06,-6.5833e+06,0,5162.8,327.83,191.96,1.2082,2.1277,59.232,6.4577,-0.17962,-11.372,13.166,1.7894e-05,0.00015412,4008.6,0,6.4577,0,-0.17962,-11.372,1,-0.27602,0,-0.153
0.73061,7,2.8731e+06,1,6552,1.225,112.63,0.37745,0.41399,0.072162,0.082996,-1919,0.12188,216.59,353.62,-8.546e+06,-8.546e+06,0,5834.1,329.22,199.92,1.2239,2.1705,57.262,6.7978,-0.16964,-11.616,13.542,1.7894e-05,0.00013593,4482.6,0,6.7978,0,-0.16964,-11.616,1,-0.27331,0,-0.15779
0.71434,7,2.898e+06,1,6552,1.225,118.26,0.37745,0.41399,0.072162,0.082996,-2041,0.13082,211.77,345.74,-1.0643e+07,-1.0643e+07,0,6324.3,330.03,204.58,1.2367,2.211,56.869,7.1282,-0.16516,-11.815,13.878,1.7894e-05,0.00012636,4758.7,0,7.1282,0,-0.16516,-11.815,1,-0.27051,0,-0.16254
0.69798,7,2.9149e+06,1,6552,1.225,122.7,0.37745,0.41399,0.072162,0.082996,-1876.2,0.12956,206.92,337.82,-1.0609e+07,-1.0609e+07,0,6184.7,329.61,194.12,1.2209,2.1573,56.919,7.4564,-0.17235,-11.921,14.138,1.7894e-05,0.00012578,4618.7,0,7.4564,0,-0.17235,-11.921,1,-0.26764,0,-0.16724
0.68156,7,2.9231e+06,1,6552,1.225,125.37,0.37745,0.41399,0.072162,0.082996,-1388.5,0.11205,202.05,329.88,-7.9821e+06,-7.9821e+06,0,5203.8,327.42,163.37,1.1646,1.9753,57.924,7.7822,-0.19249,-11.897,14.289,1.7894e-05,0.00013831,3877.9,0,7.7822,0,-0.19249,-11.897,1,-0.26468,0,-0.17188
