"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
1.0068,7,1.0479e+07,1,6552,1.225,76.61,0.41222,0.45044,0.062609,0.070707,-15052,0.91671,298.45,487.27,-5.1875e+06,-5.1875e+06,0,71734,375.06,2554.2,2.093,5.7044,19.911,0.0083095,-0.10781,-10.99,10.992,1.7894e-05,1.1495e-05,71665,0,0.0083095,0,-0.10781,-10.99,1,-0.31559,0,-3.8649e-17
1.0089,7,1.0317e+07,1,6552,1.225,87.172,0.41222,0.45044,0.062609,0.070707,-15834,0.84087,299.09,488.3,-5.9433e+06,-5.9433e+06,0,73592,386.26,2314.1,2.0078,5.2758,18.267,0.20985,-0.10563,-11.718,11.722,1.7894e-05,9.941e-06,73515,0,0.20985,0,-0.10563,-11.718,1,-0.31554,0,-0.0055078
1.0101,7,1.0391e+07,1,6552,1.225,94.167,0.41222,0.45044,0.062609,0.070707,-16932,0.78541,299.44,488.89,-6.0064e+06,-6.0064e+06,0,73620,393.61,2110.5,1.9415,4.9441,17.303,0.4377,-0.10651,-12.187,12.196,1.7894e-05,9.0133e-06,73542,0,0.4377,0,-0.10651,-12.187,1,-0.3154,0,-0.011014
1.0103,7,8.4162e+06,1,6552,1.225,98.499,0.41222,0.45044,0.062609,0.070707,-16775,0.75052,299.52,489,-6.0149e+06,-6.0149e+06,0,71924,398.01,1959.8,1.8991,4.7335,16.976,0.65747,-0.10511,-12.474,12.493,1.7894e-05,8.6657e-06,71844,0,0.65747,0,-0.10511,-12.474,1,-0.31516,0,-0.016517
1.0097,7,1.0288e+07,1,6552,1.225,104.07,0.41222,0.45044,0.062609,0.070707,-17477,0.70187,299.31,488.67,-6.0141e+06,-6.0141e+06,0,71180,403.38,1785.8,1.839,4.4473,16.198,0.90638,-0.10592,-12.822,12.856,1.7894e-05,7.9686e-06,71099,0,0.90638,0,-0.10592,-12.822,1,-0.31482,0,-0.022014
1.008,7,8.363e+06,1,6552,1.225,109.62,0.41222,0.45044,0.062609,0.070707,-17386,0.66242,298.82,487.87,-6.1871e+06,-6.1871e+06,0,69861,408.44,1637.9,1.7881,4.2098,15.673,1.157,-0.10399,-13.158,13.21,1.7894e-05,7.487e-06,69775,0,1.157,0,-0.10399,-13.158,1,-0.31439,0,-0.027505
1.0052,7,1.0412e+07,1,6552,1.225,118.4,0.41222,0.45044,0.062609,0.070707,-18096,0.6075,297.98,486.5,-6.3946e+06,-6.3946e+06,0,69818,416.38,1465.3,1.714,3.8803,14.545,1.4369,-0.10176,-13.668,13.745,1.7894e-05,6.5475e-06,69730,0,1.4369,0,-0.10176,-13.668,1,-0.31386,0,-0.032988
1.0013,7,9.2805e+06,1,6552,1.225,126.64,0.41222,0.45044,0.062609,0.070707,-18776,0.55182,296.84,484.64,-6.9006e+06,-6.9006e+06,0,69433,423.48,1298.3,1.6367,3.5498,13.393,1.7469,-0.099861,-14.125,14.234,1.7894e-05,5.6565e-06,69336,0,1.7469,0,-0.099861,-14.125,1,-0.31324,0,-0.038461
0.99686,7,9.0173e+06,1,6552,1.225,130.26,0.41222,0.45044,0.062609,0.070707,-18848,0.52698,295.52,482.48,-6.7095e+06,-6.7095e+06,0,67205,425.78,1192.4,1.5991,3.3875,13.275,2.0141,-0.10091,-14.306,14.448,1.7894e-05,5.5154e-06,67109,0,2.0141,0,-0.10091,-14.306,1,-0.31252,0,-0.043922
0.99137,7,1.0463e+07,1,6552,1.225,136.95,0.41222,0.45044,0.062609,0.070707,-19248,0.4863,293.89,479.82,-6.6949e+06,-6.6949e+06,0,66060,430.85,1068.9,1.5391,3.1437,12.493,2.3244,-0.099768,-14.648,14.832,1.7894e-05,4.9191e-06,65961,0,2.3244,0,-0.099768,-14.648,1,-0.3117,0,-0.049369
