"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
1.0012,7,4.2281e+06,1,5688,1.225,45.626,0.36215,0.0033589,-117.83,5.4955,296.8,484.56,-1.6211e+06,-1.6211e+06,2.6221,31320,342.42,7685.4,4.0304,19.181,100.97,0.030143,-0.0035961,-14.901,14.902,1.7894e-05,0.00018297,31272,1.606,0.030143,13.953,-0.0035961,-14.901,1,-0.31564,0,-3.8655e-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31559,0,-0.0055087
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31545,0,-0.011016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31521,0,-0.016519
1.0019,7,5.0597e+06,1,5688,1.225,58.374,0.36215,0.0033589,2102.1,4.2266,297.02,484.92,-7.3845e+06,-7.3845e+06,3.1909,30774,355.39,4217.7,3.5207,14.471,84.093,1.2541,0.005707,-18.165,18.209,1.7894e-05,0.00014384,30546,1.9544,1.2541,16.207,0.005707,-18.165,1,-0.31487,0,-0.022018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31444,0,-0.02751
0.99754,7,4.3705e+06,1,5688,1.225,60.931,0.36215,0.0033589,-598.38,3.6064,295.72,482.81,-3.4769e+06,-3.4769e+06,1.4753,27034,356.65,3029.5,3.1842,11.698,87.131,1.3944,-0.0088562,-14.028,14.098,1.7894e-05,0.000156,26939,0.90362,1.3944,8.7353,-0.0088562,-14.028,1,-0.31391,0,-0.032993
0.99176,7,4.3385e+06,1,5688,1.225,59.746,0.36215,0.0033589,-95.543,3.3333,294.01,480.01,-3.7831e+06,-3.7831e+06,1.4026,26155,353.75,2606.3,3.0526,10.769,84.8,1.665,-4.9704e-05,-13.829,13.93,1.7894e-05,0.00015535,26020,0.85906,1.665,8.4845,-4.9704e-05,-13.829,1,-0.31329,0,-0.038467
0.98774,7,4.3534e+06,1,5688,1.225,64.853,0.36215,0.0033589,-1191.1,3.1127,292.81,478.07,-4.6221e+06,-4.6221e+06,1.7512,26779,357.67,2315.7,2.9323,9.8602,77.193,2.1665,-0.013444,-15.408,15.56,1.7894e-05,0.00013095,26624,1.0726,2.1665,10.261,-0.013444,-15.408,1,-0.31257,0,-0.043929
0.98341,7,4.2503e+06,1,5688,1.225,69.409,0.36215,0.0033589,-437.09,2.9076,291.53,475.97,-6.3276e+05,-6.3276e+05,1.3762,25572,360.94,2097,2.8371,9.2653,79.126,2.2985,-0.0036242,-14.635,14.815,1.7894e-05,0.00014119,25539,0.84291,2.2985,8.7285,-0.0036242,-14.635,1,-0.31175,0,-0.049377
