"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_Lift","helicity","laminar_kinetic_energy","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
1.0152,7,1.3904e+07,1,6552,1.225,11.698,0.40222,0.1311,-2629.3,0.45154,491.35,-2.073e+06,-2.073e+06,0,13526,312.65,1433.8,2.0251,5.7324,55.289,0.097295,-0.16498,-4.1791,4.2325,1.7894e-05,0.00013198,13416,0,0.097295,0,-0.16498,-4.1791,1,-0.31569,0,-3.8661e-17
1.0172,7,1.4528e+07,1,6552,1.225,13.023,0.40222,0.1311,-2384.6,0.42197,492.32,-1.4619e+06,-1.4619e+06,0,12878,314.57,1285.7,1.968,5.4265,55.905,0.16702,-0.15922,-4.4043,4.4579,1.7894e-05,0.00013523,12796,0,0.16702,0,-0.15922,-4.4043,1,-0.31564,0,-0.0055096
1.0186,7,1.4828e+07,1,6552,1.225,15.785,0.40222,0.1311,-2362.1,0.4458,493.02,-1.1344e+06,-1.1344e+06,0,13554,317.76,1259.1,1.9551,5.3216,53.697,0.24911,-0.14921,-4.8931,4.9412,1.7894e-05,0.00012239,13489,0,0.24911,0,-0.14921,-4.8931,1,-0.3155,0,-0.011017
1.0194,7,1.4691e+07,1,6552,1.225,19.233,0.40222,0.1311,-2386.7,0.48433,493.37,-8.709e+05,-8.709e+05,0,14627,321.42,1254.4,1.9526,5.257,50.695,0.34972,-0.13695,-5.4546,5.4959,1.7894e-05,0.00010528,14574,0,0.34972,0,-0.13695,-5.4546,1,-0.31526,0,-0.016522
1.0188,7,1.455e+07,1,6552,1.225,21.528,0.40222,0.1311,-2493.8,0.47754,493.1,-8.5958e+05,-8.5958e+05,0,14429,323.55,1159.7,1.9148,5.0483,50.664,0.46861,-0.13897,-5.7675,5.8096,1.7894e-05,0.00010422,14377,0,0.46861,0,-0.13897,-5.7675,1,-0.31492,0,-0.022021
1.0172,7,1.4416e+07,1,6552,1.225,25.017,0.40222,0.1311,-2933.6,0.49954,492.34,-1.027e+06,-1.027e+06,0,15027,326.58,1120.3,1.8992,4.9317,48.817,0.6102,-0.1479,-6.2381,6.2872,1.7894e-05,9.3468e-05,14970,0,0.6102,0,-0.1479,-6.2381,1,-0.31449,0,-0.027514
1.0145,7,1.4295e+07,1,6552,1.225,31.37,0.40222,0.1311,-4035.3,0.54959,491.04,-1.7714e+06,-1.7714e+06,0,17667,332.13,1129.7,1.8907,4.8355,45.552,0.79144,-0.15963,-6.9474,7.0118,1.7894e-05,7.8745e-05,17592,0,0.79144,0,-0.15963,-6.9474,1,-0.31396,0,-0.032999
1.0107,7,1.4205e+07,1,6552,1.225,31.766,0.40222,0.1311,-3770.9,0.5059,489.2,-1.699e+06,-1.699e+06,0,15437,331.4,980.76,1.8388,4.5793,46.342,0.92676,-0.17512,-7.0312,7.1145,1.7894e-05,7.9411e-05,15358,0,0.92676,0,-0.17512,-7.0312,1,-0.31334,0,-0.038473
1.0063,7,1.4096e+07,1,6552,1.225,35.03,0.40222,0.1311,-3947.6,0.50328,487.04,-1.9892e+06,-1.9892e+06,0,15365,333.34,915.5,1.8102,4.4234,45.753,1.0976,-0.18262,-7.3789,7.4825,1.7894e-05,7.5423e-05,15273,0,1.0976,0,-0.18262,-7.3789,1,-0.31262,0,-0.043936
1.0011,7,1.3997e+07,1,6552,1.225,40.427,0.40222,0.1311,-4557.2,0.52486,484.53,-2.633e+06,-2.633e+06,0,16653,337.2,891.77,1.7928,4.311,44.153,1.3043,-0.18563,-7.8945,8.0225,1.7894e-05,6.866e-05,16541,0,1.3043,0,-0.18563,-7.8945,1,-0.3118,0,-0.049385
