"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_Lift","helicity","laminar_kinetic_energy","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
1.0146,7,1.3237e+07,1,6552,1.225,25.371,0.38162,0.10885,-4396.7,0.95858,491.08,-7.6256e+06,-7.6256e+06,0,30718,326.16,2274,2.2538,6.6988,42.329,0.042237,-0.10823,-6.1456,6.1771,1.7894e-05,6.2962e-05,30527,0,0.042237,0,-0.10823,-6.1456,1,-0.31559,0,-3.8649e-17
1.0165,7,1.4288e+07,1,6552,1.225,24.852,0.38162,0.10885,-3686,0.8686,492,-4.3645e+06,-4.3645e+06,0,26685,326.2,1947.5,2.1792,6.2873,43.895,0.16046,-0.10611,-6.0883,6.1225,1.7894e-05,6.7825e-05,26563,0,0.16046,0,-0.10611,-6.0883,1,-0.31554,0,-0.0055078
1.0178,7,1.4796e+07,1,6552,1.225,30.544,0.38162,0.10885,-3947.3,0.9141,492.62,-3.446e+06,-3.446e+06,0,29467,332.27,1932.2,2.1674,6.1637,41.419,0.27676,-0.099026,-6.7937,6.8256,1.7894e-05,5.8483e-05,29373,0,0.27676,0,-0.099026,-6.7937,1,-0.3154,0,-0.011014
1.0183,7,1.4569e+07,1,6552,1.225,38.549,0.38162,0.10885,-4402.5,0.9873,492.86,-2.8301e+06,-2.8301e+06,0,33990,340.43,1965.8,2.167,6.083,37.805,0.42822,-0.08992,-7.7051,7.7356,1.7894e-05,4.6093e-05,33916,0,0.42822,0,-0.08992,-7.7051,1,-0.31516,0,-0.016517
1.0178,7,1.4325e+07,1,6552,1.225,40.41,0.38162,0.10885,-4361.8,0.93947,492.61,-2.624e+06,-2.624e+06,0,32026,342.13,1774.6,2.1168,5.8071,38.294,0.58104,-0.09308,-7.8777,7.9142,1.7894e-05,4.7216e-05,31954,0,0.58104,0,-0.09308,-7.8777,1,-0.31482,0,-0.022014
1.0164,7,1.4095e+07,1,6552,1.225,46.702,0.38162,0.10885,-5270.1,0.96049,491.93,-3.5465e+06,-3.5465e+06,0,34021,348.01,1721.3,2.0957,5.6497,36.209,0.76878,-0.099137,-8.5042,8.551,1.7894e-05,4.0626e-05,33929,0,0.76878,0,-0.099137,-8.5042,1,-0.31439,0,-0.027505
1.014,7,1.3891e+07,1,6552,1.225,55.66,0.38162,0.10885,-6920.5,1.0061,490.79,-5.888e+06,-5.888e+06,0,37923,356.27,1709.8,2.0828,5.5149,32.683,0.99404,-0.10633,-9.3525,9.4162,1.7894e-05,3.052e-05,37782,0,0.99404,0,-0.10633,-9.3525,1,-0.31386,0,-0.032988
1.0103,7,1.374e+07,1,6552,1.225,56.867,0.38162,0.10885,-6917.8,0.93612,489.01,-7.6384e+06,-7.6384e+06,0,35160,356.38,1519.6,2.0235,5.2208,33.605,1.1573,-0.11821,-9.4092,9.4933,1.7894e-05,3.3221e-05,34973,0,1.1573,0,-0.11821,-9.4092,1,-0.31324,0,-0.038461
1.0058,7,1.355e+07,1,6552,1.225,61.186,0.38162,0.10885,-7186,0.90392,486.79,-8.8779e+06,-8.8779e+06,0,34620,359.35,1407.9,1.9819,5.0013,33.035,1.3583,-0.12403,-9.751,9.8584,1.7894e-05,3.1861e-05,34400,0,1.3583,0,-0.12403,-9.751,1,-0.31252,0,-0.043922
1.0004,7,1.3366e+07,1,6552,1.225,67.754,0.38162,0.10885,-7780.7,0.89013,484.17,-9.6936e+06,-9.6936e+06,0,35471,364.31,1334.4,1.9474,4.8087,31.392,1.6007,-0.1252,-10.269,10.405,1.7894e-05,2.7997e-05,35230,0,1.6007,0,-0.1252,-10.269,1,-0.3117,0,-0.049369
0.99409,7,1.3326e+07,1,6552,1.225,72.782,0.38162,0.10885,-8141.3,0.85412,481.14,-9.8313e+06,-9.8313e+06,0,35179,367.48,1234.7,1.9025,4.5841,30.456,1.85,-0.12748,-10.626,10.798,1.7894e-05,2.6146e-05,34930,0,1.85,0,-0.12748,-10.626,1,-0.3108,0,-0.054802
0.98699,7,1.3357e+07,1,6552,1.225,75.165,0.38162,0.10885,-7848.7,0.79515,477.7,-9.8809e+06,-9.8809e+06,0,33215,367.76,1111.2,1.8495,4.3441,30.732,2.0708,-0.13015,-10.755,10.965,1.7894e-05,2.7225e-05,32957,0,2.0708,0,-0.13015,-10.755,1,-0.30979,0,-0.060217
0.97921,7,1.3383e+07,1,6552,1.225,81.688,0.38162,0.10885,-8256.3,0.76979,473.94,-1.1042e+07,-1.1042e+07,0,33707,371.97,1045.2,1.8121,4.1623,29.361,2.3429,-0.13135,-11.198,11.452,1.7894e-05,2.4402e-05,33417,0,2.3429,0,-0.13135,-11.198,1,-0.30869,0,-0.065615
0.97065,7,1.3402e+07,1,6552,1.225,87.275,0.38162,0.10885,-8479,0.73535,469.8,-1.0719e+07,-1.0719e+07,0,33474,375.02,970.97,1.7701,3.9698,28.351,2.6234,-0.13012,-11.545,11.85,1.7894e-05,2.2634e-05,33187,0,2.6234,0,-0.13012,-11.545,1,-0.3075,0,-0.070992
0.96127,7,1.3525e+07,1,6552,1.225,89.013,0.38162,0.10885,-8181.5,0.67789,465.25,-8.5456e+06,-8.5456e+06,0,31151,373.98,867.92,1.7169,3.7494,28.736,2.872,-0.13277,-11.598,11.959,1.7894e-05,2.4032e-05,30910,0,2.872,0,-0.13277,-11.598,1,-0.30622,0,-0.076348
0.95127,7,1.382e+07,1,6552,1.225,97.392,0.38162,0.10885,-8746.1,0.65561,460.41,-8.4953e+06,-8.4953e+06,0,32319,379.4,818.92,1.6777,3.5704,26.676,3.2238,-0.12927,-12.104,12.535,1.7894e-05,2.0155e-05,32079,0,3.2238,0,-0.12927,-12.104,1,-0.30484,0,-0.081681
0.94025,7,1.4218e+07,1,6552,1.225,97.121,0.38162,0.10885,-8349,0.59649,455.08,-8.6518e+06,-8.6518e+06,0,29126,375.86,722.32,1.6278,3.3818,28.081,3.4358,-0.1384,-12.004,12.498,1.7894e-05,2.3311e-05,28868,0,3.4358,0,-0.1384,-12.004,1,-0.30336,0,-0.086988
0.92885,7,1.4393e+07,1,6552,1.225,100.41,0.38162,0.10885,-8016,0.5567,449.56,-8.2937e+06,-8.2937e+06,0,27591,375.77,656.19,1.5853,3.2176,28.185,3.7076,-0.13719,-12.141,12.707,1.7894e-05,2.3815e-05,27334,0,3.7076,0,-0.13719,-12.141,1,-0.3018,0,-0.09227
0.91699,7,1.4326e+07,1,6552,1.225,113.11,0.38162,0.10885,-8856.8,0.54724,443.82,-9.5566e+06,-9.5566e+06,0,30166,384.96,636.36,1.5516,3.069,25.003,4.1429,-0.12574,-12.859,13.52,1.7894e-05,1.8106e-05,29878,0,4.1429,0,-0.12574,-12.859,1,-0.30014,0,-0.097523
0.90387,7,1.3609e+07,1,6552,1.225,110.72,0.38162,0.10885,-8534.9,0.49601,437.48,-8.2915e+06,-8.2915e+06,0,26559,378.68,555.5,1.5041,2.9009,26.639,4.3422,-0.13732,-12.622,13.363,1.7894e-05,2.1488e-05,26290,0,4.3422,0,-0.13732,-12.622,1,-0.2984,0,-0.10275
0.89052,7,1.3393e+07,1,6552,1.225,112.89,0.38162,0.10885,-8197.8,0.46121,431.01,-8.7087e+06,-8.7087e+06,0,24855,376.88,500.72,1.464,2.7563,26.954,4.6076,-0.14443,-12.665,13.494,1.7894e-05,2.2239e-05,24561,0,4.6076,0,-0.14443,-12.665,1,-0.29656,0,-0.10794
0.8769,7,1.3526e+07,1,6552,1.225,130.88,0.38162,0.10885,-9783.5,0.45828,424.42,-1.4155e+07,-1.4155e+07,0,29290,390.83,496.64,1.4304,2.6118,22.257,5.1522,-0.1391,-13.618,14.572,1.7894e-05,1.4208e-05,28845,0,5.1522,0,-0.1391,-13.618,1,-0.29463,0,-0.1131
0.86255,7,1.4563e+07,1,6552,1.225,129.36,0.38162,0.10885,-8882.9,0.41702,417.48,-8.4274e+06,-8.4274e+06,0,25815,385.07,435.6,1.3858,2.4679,23.658,5.3896,-0.14087,-13.413,14.468,1.7894e-05,1.7166e-05,25526,0,5.3896,0,-0.14087,-13.413,1,-0.29261,0,-0.11822
0.84788,7,1.4544e+07,1,6552,1.225,136.21,0.38162,0.10885,-9299.5,0.39074,410.37,-6.8392e+06,-6.8392e+06,0,25701,387.56,399.03,1.3427,2.318,22.35,5.7805,-0.13759,-13.674,14.856,1.7894e-05,1.5388e-05,25458,0,5.7805,0,-0.13759,-13.674,1,-0.2905,0,-0.12331
0.83287,7,1.3438e+07,1,6552,1.225,149.6,0.38162,0.10885,-10860,0.37,403.11,-7.9855e+06,-7.9855e+06,0,27949,396.51,374.33,1.2963,2.152,19.003,6.31,-0.13091,-14.263,15.604,1.7894e-05,1.0331e-05,27671,0,6.31,0,-0.13091,-14.263,1,-0.28831,0,-0.12836
0.81757,7,1.2296e+07,1,6552,1.225,150.68,0.38162,0.10885,-9846.1,0.33573,395.7,-6.741e+06,-6.741e+06,0,25512,393.05,327.05,1.2487,2.0155,19.923,6.5832,-0.13369,-14.17,15.633,1.7894e-05,1.236e-05,25264,0,6.5832,0,-0.13369,-14.17,1,-0.28602,0,-0.13337
0.80192,7,1.1977e+07,1,6552,1.225,156.45,0.38162,0.10885,-9904.9,0.3115,388.13,-6.0131e+06,-6.0131e+06,0,24948,394.18,295.99,1.2079,1.8883,19.129,6.9653,-0.13306,-14.324,15.936,1.7894e-05,1.1478e-05,24721,0,6.9653,0,-0.13306,-14.324,1,-0.28365,0,-0.13835
0.78595,7,1.2371e+07,1,6552,1.225,169.59,0.38162,0.10885,-11358,0.29266,380.4,-5.7977e+06,-5.7977e+06,0,26734,402.58,277.41,1.1653,1.7474,15.939,7.524,-0.1269,-14.828,16.633,1.7894e-05,7.0252e-06,26517,0,7.524,0,-0.1269,-14.828,1,-0.28119,0,-0.14327
0.76975,7,1.2963e+07,1,6552,1.225,169.68,0.38162,0.10885,-10604,0.27095,372.56,-6.5213e+06,-6.5213e+06,0,24658,397.87,247.31,1.1341,1.6605,16.821,7.7818,-0.13018,-14.682,16.623,1.7894e-05,8.5635e-06,24400,0,7.7818,0,-0.13018,-14.682,1,-0.27865,0,-0.14816
0.75347,7,1.336e+07,1,6552,1.225,176.37,0.38162,0.10885,-10841,0.2509,364.68,-7.7702e+06,-7.7702e+06,0,24451,399.73,224.27,1.0952,1.5499,15.787,8.1768,-0.12938,-14.846,16.955,1.7894e-05,7.4248e-06,24139,0,8.1768,0,-0.12938,-14.846,1,-0.27602,0,-0.153
0.7368,7,1.3608e+07,1,6552,1.225,177.73,0.38162,0.10885,-10336,0.23324,356.61,-6.5224e+06,-6.5224e+06,0,22666,396.15,201.15,1.0654,1.4721,16.343,8.4643,-0.13251,-14.747,17.011,1.7894e-05,8.4516e-06,22389,0,8.4643,0,-0.13251,-14.747,1,-0.27331,0,-0.15779
0.71999,7,1.3836e+07,1,6552,1.225,189.09,0.38162,0.10885,-11078,0.21373,348.48,-5.7094e+06,-5.7094e+06,0,23420,402.53,183.23,1.0192,1.3457,13.958,8.9947,-0.12304,-15.082,17.566,1.7894e-05,5.6817e-06,23177,0,8.9947,0,-0.12304,-15.082,1,-0.27051,0,-0.16254
0.70332,7,1.4129e+07,1,6552,1.225,187.98,0.38162,0.10885,-10347,0.19909,340.41,-4.4205e+06,-4.4205e+06,0,21238,396.48,163.57,0.99382,1.2855,15.018,9.2548,-0.12657,-14.844,17.501,1.7894e-05,7.3184e-06,21035,0,9.2548,0,-0.12657,-14.844,1,-0.26764,0,-0.16724
0.68679,7,1.4441e+07,1,6552,1.225,188.79,0.38162,0.10885,-10031,0.1857,332.41,-4.5156e+06,-4.5156e+06,0,19772,392.39,146.72,0.96722,1.2215,15.522,9.5415,-0.12921,-14.698,17.533,1.7894e-05,8.1441e-06,19552,0,9.5415,0,-0.12921,-14.698,1,-0.26468,0,-0.17188
0.67025,7,1.4763e+07,1,6552,1.225,200.29,0.38162,0.10885,-11375,0.16788,324.4,-6.5405e+06,-6.5405e+06,0,20876,398.98,131.96,0.91875,1.0998,12.972,10.083,-0.12155,-14.994,18.076,1.7894e-05,5.2826e-06,20565,0,10.083,0,-0.12155,-14.994,1,-0.26164,0,-0.17648
0.654,7,1.4212e+07,1,6552,1.225,197.67,0.38162,0.10885,-10920,0.16023,316.54,-6.0453e+06,-6.0453e+06,0,18627,391.55,119.78,0.90649,1.0765,14.652,10.254,-0.13271,-14.713,17.943,1.7894e-05,7.3989e-06,18318,0,10.254,0,-0.13271,-14.713,1,-0.25852,0,-0.18101
0.63752,7,1.3604e+07,1,6552,1.225,210.87,0.38162,0.10885,-12831,0.14353,308.56,-6.8016e+06,-6.8016e+06,0,19696,399.87,107.74,0.85677,0.95945,11.823,10.829,-0.12735,-15.054,18.551,1.7894e-05,4.4143e-06,19356,0,10.829,0,-0.12735,-15.054,1,-0.25532,0,-0.1855
0.62107,7,1.2962e+07,1,6552,1.225,221.05,0.38162,0.10885,-13573,0.1228,300.6,-4.6444e+06,-4.6444e+06,0.047981,19163,405.16,90.348,0.78835,0.8298,10.223,11.421,-0.1171,-15.26,19.067,1.7894e-05,3.4893e-06,18921,0.029388,11.421,0.15383,-0.1171,-15.26,1,-0.25204,0,-0.18993
0.60483,7,1.3587e+07,1,6552,1.225,232.38,0.38162,0.10885,-15239,0.099286,292.74,-3.7258e+06,-3.7258e+06,0.12885,18550,411.68,71.162,0.70204,0.68066,8.5051,12.093,-0.09991,-15.512,19.674,1.7894e-05,2.7723e-06,18348,0.078918,12.093,0.42433,-0.09991,-15.512,1,-0.24869,0,-0.1943
0.58924,7,1.3867e+07,1,6552,1.225,227.57,0.38162,0.10885,-13460,0.10418,285.19,-3.9018e+06,-3.9018e+06,0.043012,17627,402.25,72.66,0.73451,0.72177,9.5417,12.157,-0.11607,-15.033,19.339,1.7894e-05,3.141e-06,17403,0.026345,12.157,0.14593,-0.11607,-15.033,1,-0.24526,0,-0.19861
0.5742,7,1.398e+07,1,6552,1.225,231.8,0.38162,0.10885,-13196,0.09454,277.92,-4.519e+06,-4.519e+06,0.049228,17019,402.02,64.173,0.70203,0.66295,9.0509,12.537,-0.10974,-14.964,19.527,1.7894e-05,2.8963e-06,16750,0.030152,12.537,0.17252,-0.10974,-14.964,1,-0.24176,0,-0.20286
0.5598,7,1.3963e+07,1,6552,1.225,240.68,0.38162,0.10885,-13597,0.078844,270.94,-5.1979e+06,-5.1979e+06,0.10021,16428,406.63,52.118,0.63631,0.55956,7.7642,13.083,-0.092025,-15.089,19.976,1.7894e-05,2.3646e-06,16112,0.061379,13.083,0.36348,-0.092025,-15.089,1,-0.23818,0,-0.20705
0.54573,7,1.4e+07,1,6552,1.225,235.04,0.38162,0.10885,-12348,0.084442,264.13,-4.5077e+06,-4.5077e+06,0.017312,15691,396.82,54.414,0.6751,0.6064,8.9202,13.097,-0.1162,-14.593,19.615,1.7894e-05,2.7736e-06,15403,0.010604,13.097,0.064329,-0.1162,-14.593,1,-0.23453,0,-0.21117
