"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.98321,7,1.1184e+07,1,5688,1.225,29.709,0.37528,0.023894,-87.976,5.9584e-05,291.47,475.87,-1.7613e+06,-1.7613e+06,0,38985,321.18,0.00012084,0.0093897,7.3364e-05,0.24077,0.028801,-0.0036144,-6.6593,6.6598,1.7894e-05,1.8071e-11,38941,0,0.028801,0,-0.0036144,-6.6593,1,-0.3158,0,-3.8674e-17
0.98537,7,1.1203e+07,1,5688,1.225,31.987,0.37528,0.023894,-120.45,5.8363e-05,292.11,476.92,-1.7262e+06,-1.7262e+06,0,38778,324.1,0.00011952,0.0093579,7.3708e-05,0.23895,0.15033,-0.00097629,-6.9409,6.943,1.7894e-05,1.8275e-11,38735,0,0.15033,0,-0.00097629,-6.9409,1,-0.31575,0,-0.0055115
0.98673,7,1.0951e+07,1,5688,1.225,34.64,0.37528,0.023894,-1207.9,5.7144e-05,292.52,477.58,-1.8837e+06,-1.8837e+06,0,38209,327.16,0.00011852,0.0093322,7.4199e-05,0.237,0.28377,-0.015475,-7.2591,7.2651,1.7894e-05,1.8718e-11,38161,0,0.28377,0,-0.015475,-7.2591,1,-0.31561,0,-0.011021
0.98538,7,1.1404e+07,1,5688,1.225,38.194,0.37528,0.023894,-536.21,5.554e-05,292.11,476.92,-1.8877e+06,-1.8877e+06,0,37170,330.31,0.00011682,0.0092876,7.4528e-05,0.23426,0.43341,-0.011146,-7.6638,7.6763,1.7894e-05,1.9272e-11,37120,0,0.43341,0,-0.011146,-7.6638,1,-0.31537,0,-0.016528
0.98542,7,1.145e+07,1,5688,1.225,41.519,0.37528,0.023894,-612.07,5.5953e-05,292.13,476.94,-1.9085e+06,-1.9085e+06,0,36640,333.65,0.00011619,0.0092795,7.3931e-05,0.23306,0.5878,-0.01111,-8.0112,8.0329,1.7894e-05,1.8839e-11,36590,0,0.5878,0,-0.01111,-8.0112,1,-0.31503,0,-0.022029
0.98516,7,1.1403e+07,1,5688,1.225,44.402,0.37528,0.023894,-775.32,5.647e-05,292.05,476.82,-2.0488e+06,-2.0488e+06,0,36709,336.45,0.00011501,0.0092527,7.2623e-05,0.23072,0.75449,-0.012324,-8.2936,8.3282,1.7894e-05,1.7937e-11,36654,0,0.75449,0,-0.012324,-8.2936,1,-0.3146,0,-0.027524
0.98455,7,1.1443e+07,1,5688,1.225,47.332,0.37528,0.023894,-487.17,5.5105e-05,291.87,476.52,-2.1378e+06,-2.1378e+06,0,36491,339.2,0.00011215,0.0091617,7.1413e-05,0.22681,0.92796,-0.0098455,-8.5705,8.6209,1.7894e-05,1.7368e-11,36434,0,0.92796,0,-0.0098455,-8.5705,1,-0.31407,0,-0.03301
0.98372,7,1.1019e+07,1,5688,1.225,50.271,0.37528,0.023894,-865.3,5.396e-05,291.62,476.12,-2.1547e+06,-2.1547e+06,0,36239,341.9,0.00010968,0.0090799,7.0298e-05,0.22332,1.1126,-0.013875,-8.8344,8.9045,1.7894e-05,1.6843e-11,36180,0,1.1126,0,-0.013875,-8.8344,1,-0.31345,0,-0.038486
0.98116,7,1.1295e+07,1,5688,1.225,53.471,0.37528,0.023894,-633.11,5.2643e-05,290.86,474.88,-2.2429e+06,-2.2429e+06,0,35784,344.34,0.00010732,0.0090021,6.9473e-05,0.22007,1.3084,-0.011219,-9.1106,9.2043,1.7894e-05,1.6599e-11,35722,0,1.3084,0,-0.011219,-9.1106,1,-0.31273,0,-0.043951
0.97654,7,1.1019e+07,1,5688,1.225,57.456,0.37528,0.023894,-411.77,5.1077e-05,289.5,472.64,-2.1738e+06,-2.1738e+06,0,35102,346.95,0.00010484,0.008917,6.8724e-05,0.2164,1.5242,-0.0088184,-9.4416,9.564,1.7894e-05,1.6446e-11,35041,0,1.5242,0,-0.0088184,-9.4416,1,-0.31191,0,-0.049402
0.97039,7,1.103e+07,1,5688,1.225,62.074,0.37528,0.023894,-638.84,4.9409e-05,287.67,469.67,-2.3303e+06,-2.3303e+06,0,34300,349.75,0.00010239,0.0088292,6.8028e-05,0.21266,1.757,-0.011716,-9.8067,9.963,1.7894e-05,1.6324e-11,34233,0,1.757,0,-0.011716,-9.8067,1,-0.311,0,-0.054838
0.96229,7,1.1031e+07,1,5688,1.225,67.087,0.37528,0.023894,-678.44,4.7867e-05,285.27,465.75,-2.275e+06,-2.275e+06,0,33363,352.36,0.00010032,0.0087555,6.7608e-05,0.20982,2.0064,-0.011268,-10.18,10.376,1.7894e-05,1.6429e-11,33296,0,2.0064,0,-0.011268,-10.18,1,-0.31,0,-0.060257
0.95335,7,1.1523e+07,1,5688,1.225,72.432,0.37528,0.023894,-748.52,4.6385e-05,282.62,461.42,-2.2033e+06,-2.2033e+06,0,32445,355.05,9.8361e-05,0.0086831,6.718e-05,0.20685,2.2696,-0.012532,-10.556,10.797,1.7894e-05,1.6522e-11,32378,0,2.2696,0,-0.012532,-10.556,1,-0.3089,0,-0.065659
0.94456,7,1.1531e+07,1,5688,1.225,77.764,0.37528,0.023894,-761.84,4.5052e-05,280.01,457.17,-2.2886e+06,-2.2886e+06,0,31570,357.78,9.6525e-05,0.0086135,6.6688e-05,0.20405,2.5452,-0.013133,-10.909,11.202,1.7894e-05,1.6496e-11,31498,0,2.5452,0,-0.013133,-10.909,1,-0.30771,0,-0.07104
0.93541,7,1.109e+07,1,5688,1.225,83.439,0.37528,0.023894,-1004.2,4.376e-05,277.3,452.74,-2.3077e+06,-2.3077e+06,0,30766,360.74,9.4612e-05,0.0085368,6.6017e-05,0.20103,2.8332,-0.017206,-11.261,11.612,1.7894e-05,1.6484e-11,30692,0,2.8332,0,-0.017206,-11.261,1,-0.30642,0,-0.076399
0.92528,7,1.0632e+07,1,5688,1.225,89.476,0.37528,0.023894,-1085.2,4.2465e-05,274.3,447.84,-2.2595e+06,-2.2595e+06,0,29969,363.78,9.2668e-05,0.0084554,6.5291e-05,0.19803,3.1355,-0.018376,-11.611,12.028,1.7894e-05,1.662e-11,29894,0,3.1355,0,-0.018376,-11.611,1,-0.30504,0,-0.081735
0.91489,7,1.0643e+07,1,5688,1.225,95.406,0.37528,0.023894,-1179,4.1299e-05,271.22,442.81,-2.2655e+06,-2.2655e+06,0,29195,366.63,9.0882e-05,0.0083797,6.4591e-05,0.19531,3.4465,-0.019846,-11.935,12.423,1.7894e-05,1.6755e-11,29118,0,3.4465,0,-0.019846,-11.935,1,-0.30357,0,-0.087046
0.90328,7,1.0646e+07,1,5688,1.225,101.75,0.37528,0.023894,-1251.6,4.0223e-05,267.78,437.19,-2.3735e+06,-2.3735e+06,0,28486,369.53,8.9113e-05,0.0083025,6.3795e-05,0.19226,3.7726,-0.02091,-12.265,12.832,1.7894e-05,1.6813e-11,28404,0,3.7726,0,-0.02091,-12.265,1,-0.302,0,-0.092331
