"x_velocity","arc_length","Points:0","Points:1","Points:2"
0,0,0.39437,0,-0.325
0,0.00082499,0.39437,0,-0.32418
0,0.00165,0.39437,0,-0.32335
16.523,0.002475,0.39437,0,-0.32252
15.597,0.0033,0.39437,0,-0.3217
0,0.004125,0.39437,0,-0.32087
0,0.00495,0.39437,0,-0.32005
8.0275,0.005775,0.39437,0,-0.31923
0,0.0066,0.39437,0,-0.3184
0,0.007425,0.39437,0,-0.31758
0,0.00825,0.39437,0,-0.31675
0,0.009075,0.39437,0,-0.31593
22,0.0099,0.39437,0,-0.3151
0,0.010725,0.39437,0,-0.31427
0,0.01155,0.39437,0,-0.31345
0,0.012375,0.39437,0,-0.31262
0,0.0132,0.39437,0,-0.3118
0,0.014025,0.39437,0,-0.31097
0,0.01485,0.39437,0,-0.31015
0,0.015675,0.39437,0,-0.30933
0,0.0165,0.39437,0,-0.3085
0,0.017325,0.39437,0,-0.30768
0,0.01815,0.39437,0,-0.30685
0.807,0.018975,0.39437,0,-0.30602
0.78523,0.0198,0.39437,0,-0.3052
0.73856,0.020625,0.39437,0,-0.30437
0.73914,0.02145,0.39437,0,-0.30355
0.70353,0.022275,0.39437,0,-0.30272
0.65485,0.0231,0.39437,0,-0.3019
0,0.023925,0.39437,0,-0.30108
0,0.02475,0.39437,0,-0.30025
0,0.025575,0.39437,0,-0.29943
0,0.0264,0.39437,0,-0.2986
0,0.027225,0.39437,0,-0.29778
0,0.02805,0.39437,0,-0.29695
0.52081,0.028875,0.39437,0,-0.29612
0.49393,0.0297,0.39437,0,-0.2953
0.47462,0.030525,0.39437,0,-0.29447
0.43609,0.03135,0.39437,0,-0.29365
0,0.032175,0.39437,0,-0.29283
0,0.033,0.39437,0,-0.292
0,0.033825,0.39437,0,-0.29118
0,0.03465,0.39437,0,-0.29035
0,0.035475,0.39437,0,-0.28953
0,0.0363,0.39437,0,-0.2887
0.56736,0.037125,0.39437,0,-0.28787
0.61328,0.03795,0.39437,0,-0.28705
0.65921,0.038775,0.39437,0,-0.28622
0.70513,0.0396,0.39437,0,-0.2854
0.75105,0.040425,0.39437,0,-0.28457
0.79697,0.04125,0.39437,0,-0.28375
0.84289,0.042075,0.39437,0,-0.28293
0.88881,0.0429,0.39437,0,-0.2821
0.93473,0.043725,0.39437,0,-0.28128
0.98065,0.04455,0.39437,0,-0.28045
1.0266,0.045375,0.39437,0,-0.27962
1.0725,0.0462,0.39437,0,-0.2788
1.1391,0.047025,0.39437,0,-0.27797
1.2251,0.04785,0.39437,0,-0.27715
1.3112,0.048675,0.39437,0,-0.27632
1.3972,0.0495,0.39437,0,-0.2755
1.4832,0.050325,0.39437,0,-0.27468
1.5693,0.05115,0.39437,0,-0.27385
1.6553,0.051975,0.39437,0,-0.27303
