"x_velocity","arc_length","Points:0","Points:1","Points:2"
0,0,0.55212,0,-0.325
0,0.00082499,0.55212,0,-0.32418
0,0.00165,0.55212,0,-0.32335
0,0.002475,0.55212,0,-0.32252
0,0.0033,0.55212,0,-0.3217
0,0.004125,0.55212,0,-0.32087
0,0.00495,0.55212,0,-0.32005
0,0.005775,0.55212,0,-0.31923
0,0.0066,0.55212,0,-0.3184
0,0.007425,0.55212,0,-0.31758
0,0.00825,0.55212,0,-0.31675
0,0.009075,0.55212,0,-0.31593
22,0.0099,0.55212,0,-0.3151
12.345,0.010725,0.55212,0,-0.31427
10.313,0.01155,0.55212,0,-0.31345
9.8522,0.012375,0.55212,0,-0.31262
0,0.0132,0.55212,0,-0.3118
9.2456,0.014025,0.55212,0,-0.31097
0,0.01485,0.55212,0,-0.31015
8.8559,0.015675,0.55212,0,-0.30933
0,0.0165,0.55212,0,-0.3085
0,0.017325,0.55212,0,-0.30768
8.4052,0.01815,0.55212,0,-0.30685
0,0.018975,0.55212,0,-0.30602
0,0.0198,0.55212,0,-0.3052
0,0.020625,0.55212,0,-0.30437
0,0.02145,0.55212,0,-0.30355
0,0.022275,0.55212,0,-0.30272
0,0.0231,0.55212,0,-0.3019
0,0.023925,0.55212,0,-0.30108
7.6011,0.02475,0.55212,0,-0.30025
7.5005,0.025575,0.55212,0,-0.29943
0,0.0264,0.55212,0,-0.2986
0,0.027225,0.55212,0,-0.29778
0,0.02805,0.55212,0,-0.29695
0,0.028875,0.55212,0,-0.29612
7.2091,0.0297,0.55212,0,-0.2953
7.1404,0.030525,0.55212,0,-0.29447
7.1163,0.03135,0.55212,0,-0.29365
7.0756,0.032175,0.55212,0,-0.29283
7.0349,0.033,0.55212,0,-0.292
6.9941,0.033825,0.55212,0,-0.29118
6.9534,0.03465,0.55212,0,-0.29035
6.9127,0.035475,0.55212,0,-0.28953
6.8719,0.0363,0.55212,0,-0.2887
6.8312,0.037125,0.55212,0,-0.28787
6.7905,0.03795,0.55212,0,-0.28705
6.7498,0.038775,0.55212,0,-0.28622
6.7152,0.0396,0.55212,0,-0.2854
6.6858,0.040425,0.55212,0,-0.28457
6.6563,0.04125,0.55212,0,-0.28375
6.6269,0.042075,0.55212,0,-0.28293
6.5975,0.0429,0.55212,0,-0.2821
