"x_velocity","arc_length","Points:0","Points:1","Points:2"
0,0,0.55212,0,-0.325
0,0.00082499,0.55212,0,-0.32418
17.333,0.00165,0.55212,0,-0.32335
16.244,0.002475,0.55212,0,-0.32252
0,0.0033,0.55212,0,-0.3217
0,0.004125,0.55212,0,-0.32087
0,0.00495,0.55212,0,-0.32005
0,0.005775,0.55212,0,-0.31923
0,0.0066,0.55212,0,-0.3184
0,0.007425,0.55212,0,-0.31758
0,0.00825,0.55212,0,-0.31675
0,0.009075,0.55212,0,-0.31593
22,0.0099,0.55212,0,-0.3151
0,0.010725,0.55212,0,-0.31427
0,0.01155,0.55212,0,-0.31345
0,0.012375,0.55212,0,-0.31262
0,0.0132,0.55212,0,-0.3118
0,0.014025,0.55212,0,-0.31097
0,0.01485,0.55212,0,-0.31015
0,0.015675,0.55212,0,-0.30933
5.3676,0.0165,0.55212,0,-0.3085
5.4058,0.017325,0.55212,0,-0.30768
0,0.01815,0.55212,0,-0.30685
5.5458,0.018975,0.55212,0,-0.30602
5.6009,0.0198,0.55212,0,-0.3052
5.6661,0.020625,0.55212,0,-0.30437
5.7313,0.02145,0.55212,0,-0.30355
5.7966,0.022275,0.55212,0,-0.30272
5.8618,0.0231,0.55212,0,-0.3019
5.9261,0.023925,0.55212,0,-0.30108
5.9903,0.02475,0.55212,0,-0.30025
6.0535,0.025575,0.55212,0,-0.29943
6.1157,0.0264,0.55212,0,-0.2986
6.1777,0.027225,0.55212,0,-0.29778
6.2375,0.02805,0.55212,0,-0.29695
6.2972,0.028875,0.55212,0,-0.29612
6.3552,0.0297,0.55212,0,-0.2953
6.4123,0.030525,0.55212,0,-0.29447
6.4688,0.03135,0.55212,0,-0.29365
6.5232,0.032175,0.55212,0,-0.29283
6.5776,0.033,0.55212,0,-0.292
6.6299,0.033825,0.55212,0,-0.29118
6.6816,0.03465,0.55212,0,-0.29035
6.7323,0.035475,0.55212,0,-0.28953
6.7815,0.0363,0.55212,0,-0.2887
6.8306,0.037125,0.55212,0,-0.28787
6.8773,0.03795,0.55212,0,-0.28705
6.9238,0.038775,0.55212,0,-0.28622
6.969,0.0396,0.55212,0,-0.2854
7.0131,0.040425,0.55212,0,-0.28457
7.0569,0.04125,0.55212,0,-0.28375
7.0985,0.042075,0.55212,0,-0.28293
