"x_velocity","arc_length","Points:0","Points:1","Points:2"
0,0,0.55212,0,-0.325
0,0.00082499,0.55212,0,-0.32418
17.218,0.00165,0.55212,0,-0.32335
0,0.002475,0.55212,0,-0.32252
0,0.0033,0.55212,0,-0.3217
0,0.004125,0.55212,0,-0.32087
0,0.00495,0.55212,0,-0.32005
0,0.005775,0.55212,0,-0.31923
0,0.0066,0.55212,0,-0.3184
0,0.007425,0.55212,0,-0.31758
0,0.00825,0.55212,0,-0.31675
0,0.009075,0.55212,0,-0.31593
22,0.0099,0.55212,0,-0.3151
0,0.010725,0.55212,0,-0.31427
0,0.01155,0.55212,0,-0.31345
0,0.012375,0.55212,0,-0.31262
0,0.0132,0.55212,0,-0.3118
0,0.014025,0.55212,0,-0.31097
0,0.01485,0.55212,0,-0.31015
6.5983,0.015675,0.55212,0,-0.30933
6.5936,0.0165,0.55212,0,-0.3085
0,0.017325,0.55212,0,-0.30768
0,0.01815,0.55212,0,-0.30685
6.6476,0.018975,0.55212,0,-0.30602
6.67,0.0198,0.55212,0,-0.3052
6.6973,0.020625,0.55212,0,-0.30437
6.7246,0.02145,0.55212,0,-0.30355
6.7519,0.022275,0.55212,0,-0.30272
6.7792,0.0231,0.55212,0,-0.3019
6.805,0.023925,0.55212,0,-0.30108
6.8307,0.02475,0.55212,0,-0.30025
6.8564,0.025575,0.55212,0,-0.29943
6.8821,0.0264,0.55212,0,-0.2986
6.9072,0.027225,0.55212,0,-0.29778
6.9258,0.02805,0.55212,0,-0.29695
6.9444,0.028875,0.55212,0,-0.29612
6.9629,0.0297,0.55212,0,-0.2953
6.9815,0.030525,0.55212,0,-0.29447
6.9961,0.03135,0.55212,0,-0.29365
7.0063,0.032175,0.55212,0,-0.29283
7.0236,0.033,0.55212,0,-0.292
7.0404,0.033825,0.55212,0,-0.29118
0,0.03465,0.55212,0,-0.29035
0,0.035475,0.55212,0,-0.28953
0,0.0363,0.55212,0,-0.2887
0,0.037125,0.55212,0,-0.28787
0,0.03795,0.55212,0,-0.28705
0,0.038775,0.55212,0,-0.28622
7.0556,0.0396,0.55212,0,-0.2854
7.0512,0.040425,0.55212,0,-0.28457
7.0467,0.04125,0.55212,0,-0.28375
7.0423,0.042075,0.55212,0,-0.28293
7.0378,0.0429,0.55212,0,-0.2821
